Gene,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000040204,-3.61496903018231,6.37755898524003,1188.23271521456,2.20E-260,2.86E-256
ENSMUSG00000020649,-3.21950527985125,6.94559048360242,969.505124718401,7.64E-213,4.96E-209
ENSMUSG00000030978,-2.65049697230781,7.1865007167201,847.942183590947,2.04E-186,8.82E-183
ENSMUSG00000001228,-3.34538249050302,6.46841415729704,826.439796539701,9.63E-182,3.13E-178
ENSMUSG00000056394,-2.89675924507331,6.20138417992039,744.708987920563,5.67E-164,1.47E-160
ENSMUSG00000036768,-2.9847329969424,5.53842807985362,740.688511067672,4.25E-163,9.20E-160
ENSMUSG00000027306,-2.74889392142456,5.89374318402051,693.519421235836,7.67E-153,1.42E-149
ENSMUSG00000005410,-2.86841434729472,6.35322594680625,689.580873360916,5.51E-152,8.96E-149
ENSMUSG00000029730,-2.30257894616873,6.93554028940482,686.615736197152,2.43E-151,3.51E-148
ENSMUSG00000026355,-2.81976927016058,6.95485219641349,672.761528806988,2.51E-148,3.26E-145
ENSMUSG00000034329,-3.27903855709875,4.62446976117618,652.220498183464,7.35E-144,8.68E-141
ENSMUSG00000005470,-2.89280282104827,5.55410517956937,640.814594207274,2.22E-141,2.41E-138
ENSMUSG00000009575,-2.66150943417249,6.63101559385996,640.085041685975,3.20E-141,3.20E-138
ENSMUSG00000026683,-2.78230060824271,5.19642821650656,612.631518857458,2.99E-135,2.78E-132
ENSMUSG00000020914,-2.86382687019639,8.20702970451452,612.385885530678,3.39E-135,2.93E-132
ENSMUSG00000012443,-3.00351975287537,6.22955513638207,611.18508899751,6.18E-135,5.02E-132
ENSMUSG00000041859,-2.25670655263804,6.83852540766117,595.362270086754,1.71E-131,1.31E-128
ENSMUSG00000038252,-2.77353984782938,6.98384640838686,584.499870659758,3.94E-129,2.84E-126
ENSMUSG00000037313,-2.39167329675334,5.79955774908877,573.642782838987,9.06E-127,6.19E-124
ENSMUSG00000031004,-2.70658243375814,8.80694115340834,546.263049126809,8.18E-121,5.32E-118
ENSMUSG00000019942,-2.61892136561506,5.63825009049169,536.204282560637,1.26E-118,7.81E-116
ENSMUSG00000028832,-2.56338082673127,7.38000737420211,535.621700588353,1.69E-118,9.98E-116
ENSMUSG00000022360,-2.3383349464467,7.29115829546791,529.772422695746,3.17E-117,1.79E-114
ENSMUSG00000029414,-3.07776321259668,5.45544209122298,523.655638228475,6.78E-116,3.67E-113
ENSMUSG00000023015,-2.45442886809756,6.42249040108666,521.564797920232,1.93E-115,1.00E-112
ENSMUSG00000005233,-2.86639482311354,4.83415328273753,520.053481291316,4.12E-115,2.06E-112
ENSMUSG00000002870,-2.577281672446,6.34410814718656,512.468155351667,1.84E-113,8.86E-111
ENSMUSG00000023505,-2.80840317360285,5.42870260932635,509.39679069123,8.58E-113,3.98E-110
ENSMUSG00000042029,-2.54590073616792,6.24473445671264,507.955437737406,1.77E-112,7.92E-110
ENSMUSG00000038943,-2.64647846678705,6.3650523152091,506.917516486317,2.97E-112,1.29E-109
ENSMUSG00000034023,-3.13677120556655,4.51628546547781,503.446946643991,1.69E-111,7.09E-109
ENSMUSG00000026196,-3.06338759765993,4.05025575082939,499.211906846508,1.41E-110,5.73E-108
ENSMUSG00000069793,-3.03588076489554,5.19654270945776,497.521098303149,3.29E-110,1.30E-107
ENSMUSG00000026669,-3.24138685817089,4.56528240823942,497.066888219809,4.13E-110,1.58E-107
ENSMUSG00000051220,-2.94502417051608,4.38936151754539,492.542269572828,3.99E-109,1.48E-106
ENSMUSG00000022322,-3.0814405165924,4.62500384405481,492.411162831122,4.26E-109,1.54E-106
ENSMUSG00000028312,-2.40572427597766,6.74310604630262,487.960191548427,3.96E-108,1.39E-105
ENSMUSG00000028873,-2.68168455785944,5.18965942127569,487.802157825385,4.29E-108,1.47E-105
ENSMUSG00000046179,-3.15393247340876,4.92416593021648,485.900368666182,1.11E-107,3.70E-105
ENSMUSG00000017499,-3.56595947660346,4.30382604909708,480.915253433475,1.35E-106,4.39E-104
ENSMUSG00000037572,-2.63601227589108,5.19358186642474,474.805271497695,2.88E-105,9.14E-103
ENSMUSG00000007080,-2.76506486698808,5.262167542184,474.630705067806,3.15E-105,9.74E-103
ENSMUSG00000027203,-2.41751313422217,4.76502742887564,464.079262855206,6.23E-103,1.88E-100
ENSMUSG00000058290,-2.81279891616048,5.73784216043328,461.459667414961,2.31E-102,6.83E-100
ENSMUSG00000024795,-2.84750327081449,5.25645869969439,458.119859405068,1.23E-101,3.56E-99
ENSMUSG00000005043,3.28480427005565,3.64090592965426,453.02150359196,1.59E-100,4.48E-98
ENSMUSG00000025395,-2.35312797233207,4.89426879326169,452.892610307238,1.69E-100,4.68E-98
ENSMUSG00000027715,-2.61898952372142,6.56501017774541,451.906836164768,2.77E-100,7.51E-98
ENSMUSG00000020897,-2.67497229688477,5.50541766426729,446.24627951287,4.73E-99,1.26E-96
ENSMUSG00000022351,-2.0961367488921,6.13458166973648,445.891229532094,5.65E-99,1.47E-96
ENSMUSG00000002068,-2.91331078977693,4.18869012897604,442.572956048673,2.98E-98,7.60E-96
ENSMUSG00000032555,-1.73158798866775,6.92274960580669,442.282727003907,3.45E-98,8.62E-96
ENSMUSG00000029910,-2.43831428419336,5.12163169765601,441.063118049386,6.35E-98,1.56E-95
ENSMUSG00000024165,-1.87329099675699,6.39045536058565,438.198771656695,2.67E-97,6.43E-95
ENSMUSG00000042489,-2.95192355904422,5.36002695758521,436.51109798069,6.22E-97,1.47E-94
ENSMUSG00000025574,-2.29235110226585,5.97812914667261,434.437164244661,1.76E-96,4.08E-94
ENSMUSG00000036777,-2.10909495789001,6.89505587391189,426.626856895197,8.81E-95,2.01E-92
ENSMUSG00000040084,-1.86749389106712,6.98399061950337,422.991665177557,5.45E-94,1.22E-91
ENSMUSG00000022033,-2.93571838612189,4.48400211961194,422.910147451151,5.68E-94,1.25E-91
ENSMUSG00000019214,-2.66553669097676,4.34190250398093,422.620577438991,6.56E-94,1.42E-91
ENSMUSG00000026605,-2.58414008789367,5.83635284614013,421.921791007418,9.31E-94,1.98E-91
ENSMUSG00000025747,-2.31325898685631,4.86628379065472,421.360693908522,1.23E-93,2.59E-91
ENSMUSG00000022034,-3.50173253022407,4.74986159349497,419.289396896642,3.48E-93,7.19E-91
ENSMUSG00000027469,-2.3949616034198,6.28656998609307,416.015887289294,1.80E-92,3.65E-90
ENSMUSG00000046295,-3.6350382254648,3.67144290872296,414.310178914242,4.23E-92,8.45E-90
ENSMUSG00000039396,-2.90936691802839,4.542781936644,413.729866738602,5.65E-92,1.11E-89
ENSMUSG00000035683,-2.937481795854,4.78129975756585,412.066253363931,1.30E-91,2.52E-89
ENSMUSG00000050410,-2.85837229533835,5.17318480717602,411.956833872456,1.37E-91,2.63E-89
ENSMUSG00000028212,-2.73829192889001,4.82960451557383,411.113686074675,2.10E-91,3.95E-89
ENSMUSG00000035455,-2.68079727445338,4.79211511704162,410.550726388706,2.78E-91,5.16E-89
